num_gpu,job_id,duration,submit_time,interval,model_name
1,application_1504131676014_4140,17779,0,4805,vgg16
1,application_1504131676014_5067,7373,80,14989,resnet50
1,application_1504131676014_8980,86289,329,81789,resnet152
1,application_1504131676014_9711,20724,1693,52857,alexnet
1,application_1504131676014_10328,28181,2574,34465,inception3
1,application_1504131676014_10981,15153,3148,57151,resnet101
1,application_1504131676014_11258,5863,4100,16862,resnet50
1,application_1504131676014_11361,5441,4381,22466,resnet101
1,application_1504131676014_11492,70724,4756,46156,resnet152
1,application_1504131676014_12322,49759,5525,13210,vgg19
1,application_1504131676014_12400,40914,5745,15076,alexnet
1,application_1504131676014_14351,17775,5997,109,vgg16
1,application_1504131676014_14353,4259,5998,31280,alexnet
4,application_1504131676014_14578,4138,6520,12281,resnet101
1,application_1504131676014_14965,26849,6724,18710,vgg19
1,application_1504131676014_15091,14696,7036,12011,inception3
4,application_1504131676014_15178,69714,7236,457,resnet152
1,application_1504131676014_15182,23910,7244,5194,alexnet
8,application_1504131676014_15229,80124,7331,28659,resnet152
8,application_1504131676014_15359,5436,7808,14414,inception4
4,application_1504131676014_16297,20400,8049,5132,resnet50
8,application_1504131676014_16473,57263,8134,248,resnet152
8,application_1504131676014_16481,77179,8138,1047,resnet152
8,application_1504131676014_16489,74093,8156,10590,resnet152
8,application_1504131676014_16577,73872,8332,31903,resnet152
1,application_1504131676014_16732,44846,8864,8387,inception4
8,application_1504131676014_16764,73166,9004,23709,resnet152
16,application_1504131676014_16894,21676,9399,336,vgg19
16,application_1504131676014_16897,73681,9404,748,resnet152
8,application_1504131676014_16901,58852,9417,314,resnet152
8,application_1504131676014_16904,65782,9422,4920,resnet152
16,application_1504131676014_16922,14126,9504,466,vgg16
8,application_1504131676014_16926,54427,9512,459,inception4
8,application_1504131676014_16931,65269,9520,62295,resnet152
1,application_1504131676014_19301,5600,10558,69,alexnet
1,application_1504131676014_19312,47590,10559,20,inception4
1,application_1504131676014_19317,55745,10559,29,resnet152
1,application_1504131676014_19322,177,10560,7,alexnet
1,application_1504131676014_19324,178,10560,7,vgg16
1,application_1504131676014_19325,171,10560,7,resnet101
1,application_1504131676014_19327,224,10560,0,inception3
1,application_1504131676014_19326,116,10560,1,inception3
1,application_1504131676014_19328,79,10560,2,resnet50
1,application_1504131676014_19329,212,10560,2,alexnet
1,application_1504131676014_19330,118,10560,1,alexnet
1,application_1504131676014_19331,211,10560,33,alexnet
1,application_1504131676014_19332,287,10561,2,vgg19
1,application_1504131676014_19333,353,10561,13,inception4
1,application_1504131676014_19334,291,10561,2,vgg16
1,application_1504131676014_19335,217,10561,5,alexnet
1,application_1504131676014_19336,207,10561,4,vgg19
1,application_1504131676014_19337,191,10561,3,inception4
1,application_1504131676014_19338,188,10561,3,vgg11
1,application_1504131676014_19339,342,10561,12,vgg19
1,application_1504131676014_19340,346,10561,7,vgg19
1,application_1504131676014_19341,357,10562,6,resnet50
1,application_1504131676014_19342,269,10562,9,inception4
1,application_1504131676014_19343,173,10562,4,resnet101
1,application_1504131676014_19344,179,10562,4,resnet101
1,application_1504131676014_19345,205,10562,11,inception4
1,application_1504131676014_19346,185,10562,4,vgg16
1,application_1504131676014_19347,288,10562,1,inception4
1,application_1504131676014_19348,287,10562,1,inception4
