num_gpu,job_id,duration,submit_time,interval,model_name
1,application_1504131676014_10328,28181,0,22078,alexnet
1,application_1504131676014_11361,5441,367,4150,alexnet
8,application_1504131676014_15229,80124,437,37689,resnet152
16,application_1504131676014_16894,21676,1065,1398,inception4
8,application_1504131676014_16904,65782,1088,68229,resnet152
1,application_1504131676014_19317,55745,2225,29,resnet152
1,application_1504131676014_19322,177,2226,21,resnet101
1,application_1504131676014_19326,116,2226,5,resnet101
1,application_1504131676014_19330,118,2226,60,vgg19
1,application_1504131676014_19337,191,2227,44,resnet50
1,application_1504131676014_19344,179,2228,27,vgg11
1,application_1504131676014_19350,180,2228,26,vgg16
1,application_1504131676014_19353,190,2229,16,inception3
1,application_1504131676014_19356,119,2229,128,vgg11
1,application_1504131676014_19375,291,2231,19,resnet101
1,application_1504131676014_19379,169,2231,98,resnet101
1,application_1504131676014_19397,301,2233,129,alexnet
1,application_1504131676014_19419,346,2235,16,resnet50
1,application_1504131676014_19421,213,2236,33,alexnet
1,application_1504131676014_19427,211,2236,53,alexnet
1,application_1504131676014_19433,204,2237,59,alexnet
1,application_1504131676014_19440,215,2238,8,vgg11
1,application_1504131676014_19442,352,2238,196,vgg11
1,application_1504131676014_19470,216,2241,25,vgg11
1,application_1504131676014_19475,346,2242,484,vgg16
1,application_1504131676014_19502,358,2250,201,inception4
1,application_1504131676014_19524,306,2253,152,resnet50
1,application_1504131676014_19533,291,2256,50,alexnet
1,application_1504131676014_19541,115,2257,34,vgg11
1,application_1504131676014_19548,352,2257,0,resnet50
1,application_1504131676014_19547,179,2257,196,inception4
1,application_1504131676014_19586,208,2260,6,resnet101
1,application_1504131676014_19587,203,2260,32,inception3
1,application_1504131676014_19592,355,2261,45,vgg11
1,application_1504131676014_19598,196,2262,160,alexnet
1,application_1504131676014_19620,345,2264,151,resnet50
1,application_1504131676014_19645,117,2267,16,inception3
1,application_1504131676014_19647,117,2267,20,vgg16
1,application_1504131676014_19650,175,2268,32,resnet50
1,application_1504131676014_19656,168,2268,43,inception3
1,application_1504131676014_19663,181,2269,17,vgg16
1,application_1504131676014_19668,292,2269,97,vgg16
1,application_1504131676014_19682,286,2271,27,inception3
1,application_1504131676014_19686,117,2271,28,vgg16
1,application_1504131676014_19693,119,2272,30,vgg19
1,application_1504131676014_19698,177,2272,56,alexnet
1,application_1504131676014_19707,220,2273,33,inception4
1,application_1504131676014_19713,183,2274,9,vgg19
1,application_1504131676014_19714,198,2274,11,vgg16
1,application_1504131676014_19717,267,2274,34,vgg11
1,application_1504131676014_19721,120,2275,90,vgg19
1,application_1504131676014_19736,348,2276,6,inception3
1,application_1504131676014_19738,69,2276,8,vgg19
1,application_1504131676014_19740,200,2276,31,alexnet
1,application_1504131676014_19746,213,2277,139,vgg19
1,application_1504131676014_19774,207,2279,31,resnet50
1,application_1504131676014_19780,118,2280,24,inception3
1,application_1504131676014_19784,215,2280,17,vgg19
1,application_1504131676014_19786,202,2280,19,inception4
1,application_1504131676014_19790,355,2281,71,inception4
1,application_1504131676014_19804,178,2282,30,vgg11
1,application_1504131676014_19808,325,2282,32,alexnet
1,application_1504131676014_19813,207,2283,22,alexnet
1,application_1504131676014_19815,217,2283,18,resnet50
1,application_1504131676014_19819,351,2283,89,inception4
1,application_1504131676014_19834,223,2285,15,inception3
1,application_1504131676014_19840,186,2285,24,resnet101
1,application_1504131676014_19844,120,2286,28,resnet101
1,application_1504131676014_19849,351,2286,2,resnet50
1,application_1504131676014_19851,74,2286,61,inception3
1,application_1504131676014_19863,264,2287,0,vgg11
1,application_1504131676014_19862,175,2287,7,inception4
1,application_1504131676014_19864,118,2287,223,inception3
1,application_1504131676014_19899,201,2291,61,resnet50
1,application_1504131676014_19909,358,2292,44,vgg16
1,application_1504131676014_19916,359,2293,66,vgg11
1,application_1504131676014_19924,205,2294,308,inception4
1,application_1504131676014_19953,346,2299,20,resnet101
1,application_1504131676014_19955,291,2299,9,inception3
1,application_1504131676014_19957,287,2299,4,inception3
1,application_1504131676014_19959,288,2299,10,resnet50
1,application_1504131676014_19961,213,2300,45,vgg16
1,application_1504131676014_19966,291,2300,70,alexnet
1,application_1504131676014_19974,177,2302,42,resnet50
1,application_1504131676014_19981,288,2302,58,resnet101
1,application_1504131676014_19985,213,2303,96,inception3
1,application_1504131676014_19995,167,2305,100,inception3
1,application_1504131676014_19999,325,2307,324,vgg11
1,application_1504131676014_20021,322,2312,8,vgg19
1,application_1504131676014_20023,209,2312,100,alexnet
1,application_1504131676014_20037,334,2314,33,resnet50
1,application_1504131676014_20040,215,2314,25,inception4
1,application_1504131676014_20045,346,2315,37,vgg19
1,application_1504131676014_20049,345,2315,47,vgg19
1,application_1504131676014_20063,203,2316,73,inception4
1,application_1504131676014_20073,218,2317,967,inception4
1,application_1504131676014_20095,353,2333,32,inception3
1,application_1504131676014_20099,216,2334,27,vgg16
1,application_1504131676014_20102,210,2334,198,alexnet
1,application_1504131676014_20124,354,2338,55,resnet101
1,application_1504131676014_20129,211,2339,111,resnet101
1,application_1504131676014_20142,346,2340,205,resnet101
1,application_1504131676014_20155,320,2344,24,inception3
1,application_1504131676014_20158,341,2344,24,resnet101
1,application_1504131676014_20160,206,2345,261,resnet50
1,application_1504131676014_20184,349,2349,3705,vgg19
1,application_1504131676014_20200,11279,2411,919,vgg11
1,application_1504131676014_20207,62,2426,2013,inception4
1,application_1504131676014_20212,11288,2460,3350,alexnet
1,application_1504131676014_20224,1194,2515,38,alexnet
1,application_1504131676014_20225,70,2516,126,resnet50
1,application_1504131676014_20227,384,2518,5274,vgg11
1,application_1504131676014_20242,79,2606,7799,resnet101
1,application_1504131676014_20281,72,2736,1990,resnet50
4,application_1504131676014_20293,72,2769,4578,vgg11
4,application_1504131676014_20311,63,2846,34,inception3
1,application_1504131676014_20312,76,2846,2999,alexnet
1,application_1504131676014_20330,79,2896,2011,alexnet
1,application_1504131676014_20349,144,2930,78,vgg19
1,application_1504131676014_20355,145,2931,18,vgg19
1,application_1504131676014_20358,231,2931,32,resnet50
1,application_1504131676014_20361,231,2932,57,resnet101
1,application_1504131676014_20367,231,2933,4,alexnet
1,application_1504131676014_20368,228,2933,210,vgg19
1,application_1504131676014_20398,139,2936,105,inception3
1,application_1504131676014_20416,181,2938,64,vgg19
1,application_1504131676014_20422,143,2939,644,inception4
1,application_1504131676014_20433,236,2950,2177,vgg16
1,application_1504131676014_20448,78,2986,1450,inception3
8,application_1504131676014_20459,31330,3010,2751,vgg19
1,application_1504131676014_20472,77,3056,5762,resnet101
1,application_1504131676014_20508,8590,3152,1408,resnet50
1,application_1504131676014_20536,275,3176,29,inception4
1,application_1504131676014_20541,68,3176,161,alexnet
1,application_1504131676014_20573,173,3179,30,resnet101
1,application_1504131676014_20579,162,3179,66,alexnet
1,application_1504131676014_20589,162,3180,3,inception4
1,application_1504131676014_20590,257,3180,36,vgg11
1,application_1504131676014_20598,164,3181,10,resnet101
1,application_1504131676014_20600,158,3181,19,resnet50
1,application_1504131676014_20602,158,3182,37,vgg11
1,application_1504131676014_20606,157,3182,56,inception3
1,application_1504131676014_20612,159,3183,182,vgg11
1,application_1504131676014_20625,69,3186,356,resnet50
1,application_1504131676014_20627,7691,3192,312,alexnet
1,application_1504131676014_20632,7626,3197,274,alexnet
1,application_1504131676014_20633,1220,3202,3366,resnet50
1,application_1504131676014_20664,63,3258,158,resnet101
1,application_1504131676014_20665,57,3261,1888,inception4
1,application_1504131676014_20680,573,3292,1,vgg19
1,application_1504131676014_20681,568,3292,87,vgg11
1,application_1504131676014_20696,70,3293,32,resnet101
1,application_1504131676014_20700,77,3294,13,resnet50
1,application_1504131676014_20701,71,3294,82,alexnet
1,application_1504131676014_20712,73,3296,21,alexnet
1,application_1504131676014_20715,69,3296,76,resnet101
1,application_1504131676014_20730,74,3297,38,inception3
1,application_1504131676014_20738,68,3298,17,resnet50
1,application_1504131676014_20741,73,3298,108,resnet101
1,application_1504131676014_20764,79,3300,26,resnet101
1,application_1504131676014_20769,75,3300,43,vgg19
1,application_1504131676014_20773,72,3301,29,inception4
1,application_1504131676014_20775,73,3302,386,alexnet
1,application_1504131676014_20782,470,3308,418,alexnet
1,application_1504131676014_20784,2294,3315,542,resnet50
1,application_1504131676014_20790,666,3324,128,vgg19
1,application_1504131676014_20791,57,3326,410,inception3
1,application_1504131676014_20795,2265,3333,1666,vgg11
1,application_1504131676014_20810,1088,3361,323,vgg11
1,application_1504131676014_20811,85,3366,366,resnet101
1,application_1504131676014_20817,902,3372,182,inception4
1,application_1504131676014_20825,1079,3375,40,vgg11
1,application_1504131676014_20829,917,3376,32,resnet50
1,application_1504131676014_20832,907,3376,190,vgg11
1,application_1504131676014_20841,1109,3380,7,vgg19
1,application_1504131676014_20842,938,3380,25,resnet101
1,application_1504131676014_20846,874,3380,12,alexnet
1,application_1504131676014_20848,962,3380,278,vgg19
1,application_1504131676014_20853,949,3385,107,vgg16
1,application_1504131676014_20862,928,3387,136,inception4
1,application_1504131676014_20874,890,3389,6,resnet101
1,application_1504131676014_20876,928,3389,10,inception4
1,application_1504131676014_20878,885,3389,109,vgg11
1,application_1504131676014_20886,978,3391,114,alexnet
1,application_1504131676014_20894,1041,3393,288,inception3
1,application_1504131676014_20912,951,3398,2747,inception3
16,application_1504131676014_20926,70438,3444,6531,resnet152
2,application_1504131676014_20998,13,3552,821,resnet101
1,application_1504131676014_21003,83,3566,1199,inception3
1,application_1504131676014_21008,77,3586,600,resnet50
1,application_1504131676014_21010,73,3596,600,alexnet
1,application_1504131676014_21011,82,3606,2696,resnet50
1,application_1504131676014_21020,348,3651,1665,vgg16
1,application_1504131676014_21024,2530,3679,1038,vgg19
1,application_1504131676014_21027,69,3696,4801,alexnet
1,application_1504131676014_21047,139,3776,5632,inception3
2,application_1504131676014_21076,16,3870,968,resnet50
1,application_1504131676014_21096,72,3886,4200,resnet101
1,application_1504131676014_21121,76,3956,202,alexnet
1,application_1504131676014_21125,197,3959,93,vgg19
1,application_1504131676014_21142,349,3961,20,alexnet
1,application_1504131676014_21144,334,3961,224,resnet50
1,application_1504131676014_21149,180,3965,802,vgg19
1,application_1504131676014_21172,194,3978,87,alexnet
1,application_1504131676014_21189,259,3980,138,vgg19
1,application_1504131676014_21194,125,3982,234,inception4
1,application_1504131676014_21205,106,3986,1800,inception3
1,application_1504131676014_21214,69,4016,886,resnet50
2,application_1504131676014_21217,18,4031,3265,vgg19
1,application_1504131676014_21239,20,4085,6049,inception3
1,application_1504131676014_21296,64,4186,2400,inception3
1,application_1504131676014_21312,85,4226,4800,resnet50
1,application_1504131676014_21351,84,4306,600,resnet50
1,application_1504131676014_21355,73,4316,687,vgg16
1,application_1504131676014_21369,27957,4328,1113,vgg16
1,application_1504131676014_21382,69,4346,1835,alexnet
1,application_1504131676014_21391,1123,4377,2364,resnet101
1,application_1504131676014_21400,72,4416,3001,resnet101
1,application_1504131676014_21417,74,4466,15,vgg19
1,application_1504131676014_21418,592,4466,585,inception4
1,application_1504131676014_21427,74,4476,1800,resnet101
1,application_1504131676014_21432,72,4506,1200,vgg19
1,application_1504131676014_21438,78,4526,581,vgg16
1,application_1504131676014_21445,1352,4536,32,inception3
1,application_1504131676014_21451,1493,4536,98,resnet101
1,application_1504131676014_21475,1398,4538,0,vgg19
1,application_1504131676014_21474,1359,4538,39,inception3
1,application_1504131676014_21481,1119,4539,34,resnet101
1,application_1504131676014_21491,1326,4539,39,inception4
1,application_1504131676014_21507,1281,4540,25,inception3
1,application_1504131676014_21515,1190,4540,26,inception4
1,application_1504131676014_21520,1093,4541,90,inception4
1,application_1504131676014_21526,1109,4542,267,vgg19
1,application_1504131676014_21538,1707,4547,25,resnet101
1,application_1504131676014_21539,1520,4547,3641,resnet101
1,application_1504131676014_21561,155,4608,119,vgg16
16,application_1504131676014_21562,42,4610,2065,resnet101
1,application_1504131676014_21579,5285,4644,1320,inception4
1,application_1504131676014_21594,78,4666,672,inception4
1,application_1504131676014_21599,3111,4677,527,vgg11
1,application_1504131676014_21602,73,4686,21,alexnet
1,application_1504131676014_21603,48182,4686,581,inception3
1,application_1504131676014_21613,74,4696,339,inception3
1,application_1504131676014_21618,500,4702,2403,vgg11
1,application_1504131676014_21643,140,4742,2460,vgg19
1,application_1504131676014_21663,61811,4783,196,resnet152
1,application_1504131676014_21665,76,4786,601,vgg19
