num_gpu,job_id,duration,submit_time,interval,model_name
1,application_1504131676014_11258,5863,0,456,vgg19
1,application_1504131676014_14351,17775,456,545,vgg11
8,application_1504131676014_16904,65782,1001,1429,resnet152
1,application_1504131676014_21124,40244,2431,850,inception4
1,application_1504131676014_25022,9535,3282,475,inception3
4,application_1504131676014_25116,44661,3757,4,alexnet
4,application_1504131676014_25119,75389,3762,144,resnet152
1,application_1504131676014_25164,86186,3907,99,resnet152
8,application_1504131676014_25241,15845,4006,243,alexnet
8,application_1506638472019_0067,30986,4250,94,resnet50
8,application_1506638472019_0121,33554,4344,311,resnet50
1,application_1506638472019_0262,83062,4656,1309,resnet152
1,application_1506638472019_1731,66525,5965,36,resnet152
1,application_1506638472019_1746,42557,6002,0,inception3
1,application_1506638472019_1747,27845,6002,150,inception3
8,application_1506638472019_1818,60482,6152,65,resnet152
1,application_1506638472019_2334,83937,6217,952,resnet152
8,application_1506638472019_2527,73572,7170,0,resnet152
8,application_1506638472019_2528,63823,7170,183,resnet152
8,application_1506638472019_2576,83083,7354,55,resnet152
8,application_1506638472019_2591,57636,7409,1430,resnet152
2,application_1506638472019_4222,60949,8839,862,resnet152
1,application_1506638472019_4514,37839,9702,390,inception4
8,application_1506638472019_5818,27170,10093,1,alexnet
8,application_1506638472019_5819,24190,10094,7,inception4
8,application_1506638472019_5821,32397,10102,12,vgg19
4,application_1506638472019_5824,76426,10114,0,resnet152
4,application_1506638472019_5825,82358,10114,0,resnet152
4,application_1506638472019_5826,78825,10115,76,resnet152
4,application_1506638472019_5890,74443,10191,381,resnet152
4,application_1506638472019_6059,55655,10573,0,resnet152
4,application_1506638472019_6060,63773,10573,0,resnet152
4,application_1506638472019_6062,55251,10574,1,resnet152
4,application_1506638472019_6063,60348,10575,134,resnet152
4,application_1506638472019_6090,2856,10709,4,vgg11
8,application_1506638472019_6092,38000,10714,36,vgg11
8,application_1506638472019_6107,35565,10751,0,inception4
8,application_1506638472019_6108,36240,10751,114,inception4
32,application_1506638472019_6144,53117,10865,0,resnet50
32,application_1506638472019_6145,53301,10866,136,vgg11
32,application_1506638472019_6211,56631,11002,124,resnet152
1,application_1506638472019_6265,61242,11126,19,resnet152
1,application_1506638472019_6269,59523,11146,8,resnet152
1,application_1506638472019_6271,60865,11155,105,resnet152
1,application_1506638472019_6687,37905,11261,12,vgg16
1,application_1506638472019_6692,4399,11273,0,vgg11
1,application_1506638472019_6695,4419,11273,0,resnet101
1,application_1506638472019_6702,4354,11274,0,inception4
1,application_1506638472019_6704,4340,11274,0,resnet101
1,application_1506638472019_6705,4421,11275,0,vgg16
1,application_1506638472019_6707,4397,11275,0,vgg16
1,application_1506638472019_6712,4373,11275,0,resnet50
1,application_1506638472019_6713,4411,11275,0,inception3
1,application_1506638472019_6714,4422,11275,0,vgg19
1,application_1506638472019_6716,4415,11276,0,vgg19
1,application_1506638472019_6723,4371,11276,0,inception4
1,application_1506638472019_6725,4461,11276,0,vgg16
1,application_1506638472019_6730,4349,11277,0,alexnet
1,application_1506638472019_6734,4374,11277,1,alexnet
1,application_1506638472019_6743,4283,11278,0,vgg16
1,application_1506638472019_6744,4387,11279,3,resnet50
1,application_1506638472019_6757,4392,11282,0,inception4
1,application_1506638472019_6760,4405,11283,0,vgg11
1,application_1506638472019_6764,4445,11283,0,alexnet
1,application_1506638472019_6766,4454,11283,2,vgg11
1,application_1506638472019_6791,4346,11285,4,vgg11
1,application_1506638472019_6829,4417,11290,0,inception3
8,application_1506638472019_6835,623,11291,1,vgg11
1,application_1506638472019_6836,4313,11293,6,inception4
1,application_1506638472019_6892,2513,11299,0,resnet50
1,application_1506638472019_6893,2602,11299,0,inception3
1,application_1506638472019_6899,2608,11300,0,vgg16
1,application_1506638472019_6901,2475,11300,0,vgg11
1,application_1506638472019_6906,2639,11300,0,inception3
1,application_1506638472019_6915,2565,11301,0,vgg11
1,application_1506638472019_6918,2638,11301,0,vgg19
1,application_1506638472019_6920,2524,11301,0,vgg11
1,application_1506638472019_6921,2688,11301,0,alexnet
1,application_1506638472019_6925,2579,11301,0,inception4
1,application_1506638472019_6926,2543,11301,0,vgg11
1,application_1506638472019_6927,2569,11301,0,vgg19
1,application_1506638472019_6929,2633,11302,0,resnet101
1,application_1506638472019_6930,2490,11302,0,inception3
1,application_1506638472019_6933,2508,11302,0,vgg19
1,application_1506638472019_6934,2635,11302,0,resnet101
1,application_1506638472019_6936,2651,11302,0,vgg19
1,application_1506638472019_6938,2457,11302,0,vgg19
1,application_1506638472019_6941,2447,11302,0,vgg16
1,application_1506638472019_6943,2508,11302,0,resnet101
1,application_1506638472019_6944,2670,11303,0,resnet101
1,application_1506638472019_6946,2579,11303,0,inception3
1,application_1506638472019_6950,2451,11303,0,resnet50
1,application_1506638472019_6951,2450,11303,0,vgg11
1,application_1506638472019_6953,2465,11303,0,inception4
1,application_1506638472019_6955,2508,11303,0,resnet50
1,application_1506638472019_6958,2430,11303,0,resnet50
1,application_1506638472019_6962,2617,11303,0,vgg11
1,application_1506638472019_6963,2575,11304,0,alexnet
1,application_1506638472019_6964,2603,11304,0,inception3
1,application_1506638472019_6966,2623,11304,0,resnet50
1,application_1506638472019_6967,2512,11304,0,resnet50
1,application_1506638472019_6970,2488,11304,0,inception4
1,application_1506638472019_6971,2561,11304,0,inception3
1,application_1506638472019_6972,2442,11304,0,vgg11
1,application_1506638472019_6975,2425,11304,0,vgg19
1,application_1506638472019_6976,2534,11304,0,inception4
1,application_1506638472019_6978,2513,11305,0,resnet101
1,application_1506638472019_6981,2497,11305,0,vgg11
1,application_1506638472019_6983,2457,11305,0,resnet50
1,application_1506638472019_6985,2524,11305,0,alexnet
1,application_1506638472019_6986,2517,11305,0,resnet50
1,application_1506638472019_6988,2683,11305,0,resnet50
1,application_1506638472019_6991,2501,11305,0,alexnet
1,application_1506638472019_6995,2512,11306,0,alexnet
1,application_1506638472019_6999,2551,11306,0,inception3
1,application_1506638472019_7001,2605,11306,0,inception4
1,application_1506638472019_7002,2615,11306,0,resnet101
1,application_1506638472019_7003,2522,11306,0,alexnet
1,application_1506638472019_7004,2718,11306,0,vgg11
1,application_1506638472019_7005,2532,11306,0,inception3
1,application_1506638472019_7007,2551,11306,0,vgg11
1,application_1506638472019_7010,2576,11307,0,alexnet
1,application_1506638472019_7018,2731,11307,0,resnet50
1,application_1506638472019_7021,2529,11307,0,vgg16
1,application_1506638472019_7023,2456,11307,0,vgg19
1,application_1506638472019_7024,2643,11307,0,vgg19
1,application_1506638472019_7027,2450,11307,0,vgg16
1,application_1506638472019_7029,2593,11307,0,alexnet
1,application_1506638472019_7030,2621,11307,0,vgg19
1,application_1506638472019_7031,2484,11307,0,vgg16
1,application_1506638472019_7034,2476,11307,0,vgg16
1,application_1506638472019_7033,2619,11307,0,vgg16
1,application_1506638472019_7036,2562,11308,0,resnet101
1,application_1506638472019_7038,2596,11308,0,vgg19
1,application_1506638472019_7039,2565,11308,0,inception3
1,application_1506638472019_7042,2501,11308,0,resnet101
1,application_1506638472019_7044,2448,11308,0,alexnet
1,application_1506638472019_7049,2481,11308,0,alexnet
1,application_1506638472019_7051,2595,11309,0,resnet101
1,application_1506638472019_7052,2642,11309,0,vgg11
1,application_1506638472019_7053,2586,11309,0,vgg11
1,application_1506638472019_7055,2618,11309,0,vgg19
1,application_1506638472019_7058,2515,11309,0,inception4
1,application_1506638472019_7059,2548,11309,0,vgg16
1,application_1506638472019_7062,2516,11309,0,inception4
1,application_1506638472019_7064,2612,11310,0,vgg16
1,application_1506638472019_7065,2431,11310,0,inception3
1,application_1506638472019_7069,2516,11310,0,vgg11
1,application_1506638472019_7073,2433,11310,0,vgg16
1,application_1506638472019_7074,2583,11310,0,resnet50
1,application_1506638472019_7077,2636,11310,0,vgg16
1,application_1506638472019_7080,2447,11311,0,resnet50
1,application_1506638472019_7082,2494,11311,0,resnet101
1,application_1506638472019_7084,2551,11311,0,vgg19
1,application_1506638472019_7085,2457,11311,0,vgg16
1,application_1506638472019_7086,2666,11311,0,inception4
1,application_1506638472019_7088,2508,11311,0,resnet50
1,application_1506638472019_7090,2487,11311,0,resnet50
1,application_1506638472019_7092,2570,11311,0,resnet101
1,application_1506638472019_7095,2538,11312,0,vgg11
1,application_1506638472019_7096,2440,11312,0,resnet50
1,application_1506638472019_7097,2486,11312,0,vgg19
1,application_1506638472019_7100,2600,11312,0,resnet50
1,application_1506638472019_7101,2572,11312,0,inception3
1,application_1506638472019_7102,2575,11312,0,vgg16
1,application_1506638472019_7103,2463,11312,0,inception4
1,application_1506638472019_7107,2436,11312,0,inception4
1,application_1506638472019_7111,2567,11312,0,inception4
1,application_1506638472019_7110,2456,11312,0,inception3
1,application_1506638472019_7113,2520,11312,0,resnet50
1,application_1506638472019_7116,2520,11313,0,inception3
1,application_1506638472019_7117,2497,11313,0,inception4
1,application_1506638472019_7118,2601,11313,0,vgg19
1,application_1506638472019_7122,2546,11313,0,resnet101
1,application_1506638472019_7123,2609,11313,0,inception4
1,application_1506638472019_7127,2620,11313,0,resnet50
1,application_1506638472019_7129,2496,11313,0,resnet101
1,application_1506638472019_7132,2463,11313,0,resnet101
1,application_1506638472019_7133,2600,11313,0,inception3
1,application_1506638472019_7137,2520,11314,0,vgg19
1,application_1506638472019_7138,2590,11314,0,vgg11
1,application_1506638472019_7139,2486,11314,0,resnet101
1,application_1506638472019_7142,2625,11314,0,resnet50
1,application_1506638472019_7145,2466,11314,0,inception4
1,application_1506638472019_7146,2595,11314,0,alexnet
1,application_1506638472019_7149,2586,11315,0,resnet101
1,application_1506638472019_7150,2553,11315,0,resnet50
1,application_1506638472019_7151,2471,11315,0,vgg11
1,application_1506638472019_7154,2476,11315,0,inception3
1,application_1506638472019_7155,2413,11315,0,inception3
1,application_1506638472019_7157,2458,11315,0,inception4
1,application_1506638472019_7166,2464,11316,0,alexnet
1,application_1506638472019_7168,2441,11316,0,resnet101
1,application_1506638472019_7169,2706,11316,0,alexnet
1,application_1506638472019_7172,2502,11316,0,alexnet
1,application_1506638472019_7174,3198,11316,0,resnet101
1,application_1506638472019_7180,2466,11316,0,inception3
1,application_1506638472019_7182,2437,11316,0,inception3
1,application_1506638472019_7185,2695,11317,0,inception4
1,application_1506638472019_7186,2596,11317,0,alexnet
1,application_1506638472019_7187,2469,11317,0,resnet50
1,application_1506638472019_7189,2764,11317,0,vgg11
1,application_1506638472019_7192,2720,11317,0,inception3
1,application_1506638472019_7194,2485,11317,0,inception4
1,application_1506638472019_7196,2422,11317,0,resnet101
1,application_1506638472019_7198,4353,11317,0,vgg16
1,application_1506638472019_7200,2534,11317,0,resnet101
1,application_1506638472019_7205,2514,11317,0,resnet101
1,application_1506638472019_7207,2474,11317,0,inception4
1,application_1506638472019_7210,2651,11318,0,inception3
1,application_1506638472019_7215,2634,11318,0,vgg16
1,application_1506638472019_7216,2527,11318,0,vgg19
1,application_1506638472019_7224,4425,11318,0,resnet101
1,application_1506638472019_7223,2461,11318,0,alexnet
1,application_1506638472019_7227,2608,11319,0,inception3
1,application_1506638472019_7232,2547,11319,0,resnet50
1,application_1506638472019_7236,2451,11319,0,alexnet
1,application_1506638472019_7237,2569,11319,0,alexnet
1,application_1506638472019_7241,2494,11320,0,inception4
1,application_1506638472019_7243,2482,11320,0,resnet50
1,application_1506638472019_7246,2687,11320,0,vgg19
1,application_1506638472019_7250,2422,11320,0,vgg19
1,application_1506638472019_7252,2501,11320,0,resnet50
1,application_1506638472019_7253,2472,11320,0,resnet50
1,application_1506638472019_7255,4449,11321,0,resnet50
1,application_1506638472019_7258,2448,11321,0,inception4
1,application_1506638472019_7259,2536,11321,0,inception4
1,application_1506638472019_7260,4295,11321,0,inception3
1,application_1506638472019_7261,2667,11321,0,vgg11
1,application_1506638472019_7262,2528,11321,0,resnet50
1,application_1506638472019_7263,2469,11321,0,resnet101
1,application_1506638472019_7264,2613,11321,0,vgg19
1,application_1506638472019_7265,2550,11321,0,vgg11
1,application_1506638472019_7266,2616,11321,0,vgg11
1,application_1506638472019_7268,2629,11322,0,inception4
1,application_1506638472019_7267,2504,11322,0,vgg11
1,application_1506638472019_7269,2565,11322,0,vgg19
1,application_1506638472019_7270,2467,11322,0,vgg11
1,application_1506638472019_7271,2578,11322,0,vgg16
1,application_1506638472019_7273,2420,11322,0,vgg19
1,application_1506638472019_7274,2679,11322,0,inception3
1,application_1506638472019_7275,2500,11322,0,inception3
1,application_1506638472019_7276,2604,11322,0,vgg16
1,application_1506638472019_7277,2617,11323,0,vgg11
1,application_1506638472019_7278,2455,11323,0,resnet101
1,application_1506638472019_7279,2511,11323,0,vgg11
1,application_1506638472019_7281,2474,11323,0,vgg11
1,application_1506638472019_7282,2565,11323,0,inception3
1,application_1506638472019_7283,4397,11323,0,vgg11
1,application_1506638472019_7284,4034,11324,0,vgg11
1,application_1506638472019_7285,4285,11324,0,inception4
1,application_1506638472019_7286,4352,11324,0,resnet50
1,application_1506638472019_7287,4338,11324,0,vgg16
1,application_1506638472019_7289,2656,11324,0,vgg11
1,application_1506638472019_7290,2486,11324,0,alexnet
1,application_1506638472019_7291,2458,11324,0,inception3
1,application_1506638472019_7293,2426,11324,0,alexnet
1,application_1506638472019_7292,2435,11324,0,vgg16
1,application_1506638472019_7294,2474,11325,0,vgg19
1,application_1506638472019_7295,2562,11325,0,vgg19
1,application_1506638472019_7296,2441,11325,0,vgg19
1,application_1506638472019_7297,2439,11325,0,vgg16
1,application_1506638472019_7298,2574,11325,0,inception4
1,application_1506638472019_7299,2634,11325,0,vgg16
1,application_1506638472019_7301,2619,11325,0,inception3
1,application_1506638472019_7302,2467,11325,0,vgg16
1,application_1506638472019_7303,2481,11325,0,alexnet
1,application_1506638472019_7304,2584,11325,0,inception3
1,application_1506638472019_7305,2625,11325,0,inception4
1,application_1506638472019_7306,2461,11325,0,vgg19
1,application_1506638472019_7307,2539,11325,0,vgg16
1,application_1506638472019_7308,2571,11326,0,inception3
1,application_1506638472019_7309,2465,11326,0,vgg11
1,application_1506638472019_7310,2562,11326,0,resnet50
1,application_1506638472019_7311,2511,11326,0,vgg19
1,application_1506638472019_7312,2478,11326,0,resnet101
1,application_1506638472019_7313,4377,11326,0,resnet50
1,application_1506638472019_7314,2525,11326,0,vgg19
1,application_1506638472019_7315,4414,11326,0,vgg19
1,application_1506638472019_7316,2464,11326,0,vgg11
1,application_1506638472019_7317,2584,11326,0,resnet50
1,application_1506638472019_7318,2448,11327,0,resnet50
1,application_1506638472019_7319,2514,11327,0,resnet101
1,application_1506638472019_7320,2447,11327,0,resnet50
1,application_1506638472019_7321,2493,11327,0,vgg19
1,application_1506638472019_7322,2534,11327,0,alexnet
1,application_1506638472019_7324,4353,11327,0,inception3
1,application_1506638472019_7325,2658,11327,0,vgg19
1,application_1506638472019_7326,2553,11327,0,inception3
1,application_1506638472019_7327,2630,11327,0,resnet50
1,application_1506638472019_7328,2509,11327,0,inception4
1,application_1506638472019_7329,2627,11328,0,vgg19
1,application_1506638472019_7330,2673,11328,0,vgg16
1,application_1506638472019_7331,2522,11328,0,inception3
1,application_1506638472019_7332,2424,11328,0,resnet101
1,application_1506638472019_7333,2456,11328,0,resnet50
1,application_1506638472019_7334,2460,11328,0,resnet50
1,application_1506638472019_7335,2657,11328,0,inception4
1,application_1506638472019_7336,2499,11328,0,alexnet
1,application_1506638472019_7337,2446,11328,0,vgg16
1,application_1506638472019_7338,4432,11329,0,vgg16
1,application_1506638472019_7339,2555,11329,0,resnet50
1,application_1506638472019_7340,2435,11329,0,alexnet
1,application_1506638472019_7341,2634,11329,0,vgg11
1,application_1506638472019_7342,2501,11329,0,alexnet
1,application_1506638472019_7343,2538,11329,0,alexnet
1,application_1506638472019_7344,2467,11329,0,resnet50
1,application_1506638472019_7345,2639,11329,8,resnet50
8,application_1506638472019_7349,835,11338,1,vgg19
1,application_1506638472019_7350,66,11339,10,inception4
