time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
2345,application_1504131676014_19738,1,2276,2276,2345,69,69,69,0,0,0
2369,application_1504131676014_19851,1,2286,2286,2369,83,83,74,0,0,0
2389,application_1504131676014_19686,1,2271,2271,2389,118,118,117,0,0,0
2389,application_1504131676014_19647,1,2267,2267,2389,122,122,117,0,0,0
2389,application_1504131676014_19645,1,2267,2267,2389,122,122,117,0,0,0
2399,application_1504131676014_19693,1,2272,2272,2399,127,127,119,0,0,0
2399,application_1504131676014_19541,1,2257,2257,2399,142,142,115,0,0,0
2399,application_1504131676014_19780,1,2280,2280,2399,119,119,118,0,0,0
2399,application_1504131676014_19326,1,2226,2226,2399,173,173,116,0,0,0
2409,application_1504131676014_19330,1,2226,2226,2409,183,183,118,0,0,0
2409,application_1504131676014_19379,1,2231,2231,2409,178,178,169,0,0,0
2409,application_1504131676014_19356,1,2229,2229,2409,180,180,119,0,0,0
2409,application_1504131676014_19350,1,2228,2228,2409,181,181,180,0,0,0
2409,application_1504131676014_19844,1,2286,2286,2409,123,123,120,0,0,0
2409,application_1504131676014_19344,1,2228,2228,2409,181,181,179,0,0,0
2409,application_1504131676014_19864,1,2287,2287,2409,122,122,118,0,0,0
2421,application_1504131676014_19353,1,2229,2229,2421,192,192,190,0,0,0
2421,application_1504131676014_19322,1,2226,2226,2421,195,195,177,0,0,0
2446,application_1504131676014_19433,1,2237,2237,2446,209,209,204,0,0,0
2446,application_1504131676014_19650,1,2268,2268,2446,178,178,175,0,0,0
2446,application_1504131676014_19547,1,2257,2257,2446,189,189,179,0,0,0
2456,application_1504131676014_19663,1,2269,2269,2456,187,187,181,0,0,0
2456,application_1504131676014_19421,1,2236,2236,2456,220,220,213,0,0,0
2456,application_1504131676014_19698,1,2272,2272,2456,184,184,177,0,0,0
2456,application_1504131676014_19427,1,2236,2236,2456,220,220,211,0,0,0
2460,application_1504131676014_19598,1,2262,2262,2460,198,198,196,0,0,0
2460,application_1504131676014_19713,1,2274,2274,2460,186,186,183,0,0,0
2470,application_1504131676014_19862,1,2287,2287,2470,183,183,175,0,0,0
2470,application_1504131676014_19587,1,2260,2260,2470,210,210,203,0,0,0
2470,application_1504131676014_19586,1,2260,2260,2470,210,210,208,0,0,0
2480,application_1504131676014_19714,1,2274,2274,2480,206,206,198,0,0,0
2490,application_1504131676014_19840,1,2285,2285,2490,205,205,186,0,0,0
2490,application_1504131676014_19337,1,2227,2227,2490,263,263,191,0,0,0
2490,application_1504131676014_19786,1,2280,2280,2490,210,210,202,0,0,0
2490,application_1504131676014_19995,1,2305,2305,2490,185,185,167,0,0,0
2490,application_1504131676014_19974,1,2302,2302,2490,188,188,177,0,0,0
2510,application_1504131676014_19656,1,2268,2268,2510,242,242,168,0,0,0
2510,application_1504131676014_19746,1,2277,2277,2510,233,233,213,0,0,0
2510,application_1504131676014_19813,1,2283,2283,2510,227,227,207,0,0,0
2510,application_1504131676014_19784,1,2280,2280,2510,230,230,215,0,0,0
2510,application_1504131676014_20207,1,2426,2426,2510,84,84,62,0,0,0
2510,application_1504131676014_19804,1,2282,2282,2510,228,228,178,0,0,0
2510,application_1504131676014_19774,1,2279,2279,2510,231,231,207,0,0,0
2515,application_1504131676014_19707,1,2273,2273,2515,242,242,220,0,0,0
2516,application_1504131676014_19440,1,2238,2238,2516,278,278,215,0,0,0
2528,application_1504131676014_19470,1,2241,2241,2528,287,287,216,0,0,0
2528,application_1504131676014_19899,1,2291,2291,2528,237,237,201,0,0,0
2528,application_1504131676014_19924,1,2294,2294,2528,234,234,205,0,0,0
2528,application_1504131676014_19815,1,2283,2283,2528,245,245,217,0,0,0
2528,application_1504131676014_19721,1,2275,2275,2528,253,253,120,0,0,0
2548,application_1504131676014_19834,1,2285,2285,2548,263,263,223,0,0,0
2558,application_1504131676014_20063,1,2316,2316,2558,242,242,203,0,0,0
2568,application_1504131676014_20023,1,2312,2312,2568,256,256,209,0,0,0
2568,application_1504131676014_19985,1,2303,2303,2568,265,265,213,0,0,0
2588,application_1504131676014_19961,1,2300,2300,2588,288,288,213,0,0,0
2588,application_1504131676014_20040,1,2314,2314,2588,274,274,215,0,0,0
2588,application_1504131676014_19375,1,2231,2231,2588,357,357,291,0,0,0
2606,application_1504131676014_19397,1,2233,2233,2606,373,373,301,0,0,0
2606,application_1504131676014_19717,1,2274,2274,2606,332,332,267,0,0,0
2606,application_1504131676014_20073,1,2317,2317,2606,289,289,218,0,0,0
2606,application_1504131676014_20129,1,2339,2339,2606,267,267,211,0,0,0
2626,application_1504131676014_19682,1,2271,2271,2626,355,355,286,0,0,0
2626,application_1504131676014_20099,1,2334,2334,2626,292,292,216,0,0,0
2646,application_1504131676014_20102,1,2334,2334,2646,312,312,210,0,0,0
2646,application_1504131676014_20225,1,2516,2516,2646,130,130,70,0,0,0
2656,application_1504131676014_19524,1,2253,2253,2656,403,403,306,0,0,0
2666,application_1504131676014_19740,1,2276,2276,2666,390,390,200,0,0,0
2666,application_1504131676014_19863,1,2287,2287,2666,379,379,264,0,0,0
2686,application_1504131676014_19668,1,2269,2269,2686,417,417,292,0,0,0
2686,application_1504131676014_19957,1,2299,2299,2686,387,387,287,0,0,0
2696,application_1504131676014_19620,1,2264,2264,2696,432,432,345,0,0,0
2706,application_1504131676014_19502,1,2250,2250,2706,456,456,358,0,0,0
2706,application_1504131676014_19959,1,2299,2299,2706,407,407,288,0,0,0
2706,application_1504131676014_19966,1,2300,2300,2706,406,406,291,0,0,0
2706,application_1504131676014_19981,1,2302,2302,2706,404,404,288,0,0,0
2726,application_1504131676014_19955,1,2299,2299,2726,427,427,291,0,0,0
2746,application_1504131676014_19819,1,2283,2283,2746,463,463,351,0,0,0
2746,application_1504131676014_19808,1,2282,2282,2746,464,464,325,0,0,0
2746,application_1504131676014_19592,1,2261,2261,2746,485,485,355,0,0,0
2746,application_1504131676014_20242,1,2606,2606,2746,140,140,79,0,0,0
2766,application_1504131676014_19736,1,2276,2276,2766,490,490,348,0,0,0
2766,application_1504131676014_19999,1,2307,2307,2766,459,459,325,0,0,0
2779,application_1504131676014_19849,1,2286,2286,2779,493,493,351,0,0,0
2779,application_1504131676014_19442,1,2238,2238,2779,541,541,352,0,0,0
2779,application_1504131676014_19909,1,2292,2292,2779,487,487,358,0,0,0
2779,application_1504131676014_19419,1,2235,2235,2779,544,544,346,0,0,0
2779,application_1504131676014_19548,1,2257,2257,2779,522,522,352,0,0,0
2789,application_1504131676014_20155,1,2344,2344,2789,445,445,320,0,0,0
2799,application_1504131676014_19475,1,2242,2242,2799,557,557,346,0,0,0
2819,application_1504131676014_20095,1,2333,2333,2819,486,486,353,0,0,0
2829,application_1504131676014_19533,1,2256,2256,2829,573,573,291,0,0,0
2829,application_1504131676014_19916,1,2293,2293,2829,536,536,359,0,0,0
2846,application_1504131676014_20293,4,2769,2769,2846,77,77,72,0,0,0
2856,application_1504131676014_20049,1,2315,2315,2856,541,541,345,0,0,0
2906,application_1504131676014_20184,1,2349,2349,2906,557,557,349,0,0,0
2916,application_1504131676014_20021,1,2312,2312,2916,604,604,322,0,0,0
2916,application_1504131676014_20311,4,2846,2846,2916,70,70,63,0,0,0
2926,application_1504131676014_20312,1,2846,2846,2926,80,80,76,0,0,0
2930,application_1504131676014_20142,1,2340,2340,2930,590,590,346,0,0,0
2949,application_1504131676014_20158,1,2344,2344,2949,605,605,341,0,0,0
2949,application_1504131676014_20160,1,2345,2345,2949,604,604,206,0,0,0
