time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
367,0,0,0,0,0,0,2,0
437,0,0,0,0,0,0,3,0
1065,0,0,0,0,0,0,4,0
1088,0,0,0,0,0,0,5,0
2225,0,0,0,0,0,0,6,0
2226,0,0,0,0,0,0,9,0
2227,0,0,0,0,0,0,10,0
2228,0,0,0,0,0,0,12,0
2229,0,0,0,0,0,0,14,0
2231,0,0,0,0,0,0,16,0
2233,0,0,0,0,0,0,17,0
2235,0,0,0,0,0,0,18,0
2236,0,0,0,0,0,0,20,0
2237,0,0,0,0,0,0,21,0
2238,0,0,0,0,0,0,23,0
2241,0,0,0,0,0,0,24,0
2242,0,0,0,0,0,0,25,0
2250,0,0,0,0,0,0,26,0
2253,0,0,0,0,0,0,27,0
2256,0,0,0,0,0,0,28,0
2257,0,0,0,0,0,0,31,0
2260,0,0,0,0,0,0,33,0
2261,0,0,0,0,0,0,34,0
2262,0,0,0,0,0,0,35,0
2264,0,0,0,0,0,0,36,0
2267,0,0,0,0,0,0,38,0
2268,0,0,0,0,0,0,40,0
2269,0,0,0,0,0,0,42,0
2271,0,0,0,0,0,0,44,0
2272,0,0,0,0,0,0,46,0
2273,0,0,0,0,0,0,47,0
2274,0,0,0,0,0,0,50,0
2275,0,0,0,0,0,0,51,0
2276,0,0,0,0,0,0,54,0
2277,0,0,0,0,0,0,55,0
2279,0,0,0,0,0,0,56,0
2280,0,0,0,0,0,0,59,0
2281,0,0,0,0,0,0,60,0
2282,0,0,0,0,0,0,62,0
2283,0,0,0,0,0,0,65,0
2285,0,0,0,0,0,0,67,0
2286,0,0,0,0,0,0,70,0
2287,0,0,0,0,0,0,73,0
2291,0,0,0,0,0,0,74,0
2292,0,0,0,0,0,0,75,0
2293,0,0,0,0,0,0,76,0
2294,0,0,0,0,0,0,77,0
2299,0,0,0,0,0,0,81,0
2300,0,0,0,0,0,0,83,0
2302,0,0,0,0,0,0,85,0
2303,0,0,0,0,0,0,86,0
2305,0,0,0,0,0,0,87,0
2307,0,0,0,0,0,0,88,0
2312,0,0,0,0,0,0,90,0
2314,0,0,0,0,0,0,92,0
2315,0,0,0,0,0,0,94,0
2316,0,0,0,0,0,0,95,0
2317,0,0,0,0,0,0,96,0
2333,0,0,0,0,0,0,97,0
2334,0,0,0,0,0,0,99,0
2338,0,0,0,0,0,1,99,0
2339,0,0,0,0,0,2,99,0
2340,0,0,0,0,0,3,99,0
2342,0,0,0,0,0,2,99,1
2344,0,0,0,0,0,3,99,2
2345,0,0,0,0,0,3,99,3
2348,0,0,0,0,0,2,99,4
2349,0,0,0,0,0,3,99,4
2360,0,0,0,0,0,2,99,5
2372,0,0,0,0,0,1,99,6
2384,0,0,0,0,0,0,98,8
2388,0,0,0,0,0,0,97,9
2391,0,0,0,0,0,0,96,10
2395,0,0,0,0,0,0,95,11
2398,0,0,0,0,0,0,94,12
2400,0,0,0,0,0,0,93,13
2403,0,0,0,0,0,0,92,14
2405,0,0,0,0,0,0,91,15
2406,0,0,0,0,0,0,90,16
2407,0,0,0,0,0,0,89,17
2408,0,0,0,0,0,0,88,18
2411,0,0,0,0,0,0,89,18
2418,0,0,0,0,0,0,88,19
2419,0,0,0,0,0,0,87,20
2426,0,0,0,0,0,0,88,20
2436,0,0,0,0,0,0,86,22
2441,0,0,0,0,0,0,85,23
2443,0,0,0,0,0,0,84,24
2447,0,0,0,0,0,0,83,25
2449,0,0,0,0,0,0,81,27
2450,0,0,0,0,0,0,80,28
2453,0,0,0,0,0,0,79,29
2457,0,0,0,0,0,0,77,31
2458,0,0,0,0,0,0,76,32
2460,0,0,0,0,0,0,76,33
2462,0,0,0,0,0,0,75,34
2463,0,0,0,0,0,0,74,35
2468,0,0,0,0,0,0,73,36
2471,0,0,0,0,0,0,72,37
2472,0,0,0,0,0,0,70,39
2476,0,0,0,0,0,0,69,40
2479,0,0,0,0,0,0,68,41
2482,0,0,0,0,0,0,67,42
2486,0,0,0,0,0,0,66,43
2488,0,0,0,0,0,0,65,44
2490,0,0,0,0,0,0,63,46
2492,0,0,0,0,0,0,62,47
2493,0,0,0,0,0,0,61,48
2495,0,0,0,0,0,0,60,49
2499,0,0,0,0,0,0,59,50
2500,0,0,0,0,0,0,58,51
2508,0,0,0,0,0,0,57,52
2513,0,0,0,0,0,0,56,53
2515,0,0,0,0,0,0,57,53
2516,0,0,0,0,0,0,57,54
2518,0,0,0,0,0,0,58,54
2519,0,0,0,0,0,0,57,55
2521,0,0,0,0,0,0,56,56
2522,0,0,0,0,0,0,55,57
2529,0,0,0,0,0,0,54,58
2534,0,0,0,0,0,0,53,59
2535,0,0,0,0,0,0,52,60
2541,0,0,0,0,0,0,51,61
2544,0,0,0,0,0,0,50,62
2547,0,0,0,0,0,0,49,63
2550,0,0,0,0,0,0,48,64
2551,0,0,0,0,0,0,47,65
2555,0,0,0,0,0,0,46,66
2557,0,0,0,0,0,0,45,67
2559,0,0,0,0,0,0,44,68
2561,0,0,0,0,0,0,43,69
2578,0,0,0,0,0,0,42,70
2581,0,0,0,0,0,0,41,71
2586,0,0,0,0,0,0,39,73
2587,0,0,0,0,0,0,38,74
2588,0,0,0,0,0,0,37,75
2590,0,0,0,0,0,0,34,78
2591,0,0,0,0,0,0,33,79
2606,0,0,0,0,0,0,34,79
2607,0,0,0,0,0,0,33,80
2608,0,0,0,0,0,0,32,81
2609,0,0,0,0,0,0,30,83
2616,0,0,0,0,0,0,29,84
2624,0,0,0,0,0,0,28,85
2632,0,0,0,0,0,0,27,86
2634,0,0,0,0,0,0,25,88
2636,0,0,0,0,0,0,24,89
2637,0,0,0,0,0,0,23,90
2645,0,0,0,0,0,0,22,91
2648,0,0,0,0,0,0,21,92
2650,0,0,0,0,0,0,20,93
2652,0,0,0,0,0,0,19,94
2660,0,0,0,0,0,0,18,95
2661,0,0,0,0,0,0,17,96
2668,0,0,0,0,0,0,16,97
2685,0,0,0,0,0,0,15,98
2686,0,0,0,0,0,0,14,99
2691,0,0,0,0,0,0,13,100
2696,0,0,0,0,0,0,12,101
2701,0,0,0,0,0,0,11,102
2733,0,0,0,0,0,0,10,103
2736,0,0,0,0,0,0,11,103
2769,0,0,0,0,0,0,12,103
2808,0,0,0,0,0,0,11,104
2841,0,0,0,0,0,0,10,105
2846,0,0,0,0,0,0,12,105
2896,0,0,0,0,0,0,13,105
2902,0,0,0,0,0,0,12,106
2909,0,0,0,0,0,0,11,107
2922,0,0,0,0,0,0,10,108
2930,0,0,0,0,0,0,11,108
2931,0,0,0,0,0,0,13,108
2932,0,0,0,0,0,0,14,108
2933,0,0,0,0,0,0,16,108
2936,0,0,0,0,0,0,17,108
2938,0,0,0,0,0,0,18,108
2939,0,0,0,0,0,0,19,108
2950,0,0,0,0,0,0,20,108
2975,0,0,0,0,0,0,19,109
2986,0,0,0,0,0,0,20,109
3010,0,0,0,0,0,0,21,109
3056,0,0,0,0,0,0,22,109
3064,0,0,0,0,0,0,21,110
3074,0,0,0,0,0,0,20,111
3075,0,0,0,0,0,0,19,112
3076,0,0,0,0,0,0,18,113
3082,0,0,0,0,0,0,17,114
3119,0,0,0,0,0,0,16,115
3133,0,0,0,0,0,0,15,116
3152,0,0,0,0,0,0,16,116
3161,0,0,0,0,0,0,15,117
3162,0,0,0,0,0,0,14,118
3163,0,0,0,0,0,0,13,119
3164,0,0,0,0,0,0,12,120
3176,0,0,0,0,0,0,14,120
3179,0,0,0,0,0,0,16,120
3180,0,0,0,0,0,0,18,120
3181,0,0,0,0,0,0,20,120
3182,0,0,0,0,0,0,22,120
3183,0,0,0,0,0,0,23,120
3186,0,0,0,0,0,0,23,121
3192,0,0,0,0,0,0,24,121
3197,0,0,0,0,0,0,25,121
3202,0,0,0,0,0,0,26,121
3244,0,0,0,0,0,0,25,122
3250,0,0,0,0,0,0,25,122
3255,0,0,0,0,0,0,24,123
3258,0,0,0,0,0,0,25,123
3261,0,0,0,0,0,0,26,123
3292,0,0,0,0,0,0,28,123
3293,0,0,0,0,0,0,29,123
3294,0,0,0,0,0,0,31,123
3296,0,0,0,0,0,0,33,123
3297,0,0,0,0,0,0,34,123
3298,0,0,0,0,0,0,36,123
3300,0,0,0,0,0,0,38,123
3301,0,0,0,0,0,0,39,123
3302,0,0,0,0,0,0,40,123
3308,0,0,0,0,0,0,41,123
3315,0,0,0,0,0,0,42,123
3318,0,0,0,0,0,0,41,124
3321,0,0,0,0,0,0,40,125
3324,0,0,0,0,0,0,41,125
3326,0,0,0,0,0,0,42,125
3333,0,0,0,0,0,0,43,125
3339,0,0,0,0,0,0,41,127
3340,0,0,0,0,0,0,40,128
3341,0,0,0,0,0,0,39,129
3342,0,0,0,0,0,0,37,131
3345,0,0,0,0,0,0,36,132
3352,0,0,0,0,0,0,35,133
3361,0,0,0,0,0,0,36,133
3363,0,0,0,0,0,0,35,134
3365,0,0,0,0,0,0,33,136
3366,0,0,0,0,0,0,33,137
3369,0,0,0,0,0,0,32,138
3371,0,0,0,0,0,0,29,141
3372,0,0,0,0,0,0,30,141
3373,0,0,0,0,0,0,29,142
3375,0,0,0,0,0,0,28,144
3376,0,0,0,0,0,0,30,144
3379,0,0,0,0,0,0,29,145
3380,0,0,0,0,0,0,33,145
3383,0,0,0,0,0,0,32,146
3385,0,0,0,0,0,0,33,146
3387,0,0,0,0,0,0,34,146
3389,0,0,0,0,0,0,37,146
3391,0,0,0,0,0,0,38,146
3393,0,0,0,0,0,0,39,146
3398,0,0,0,0,0,0,40,146
3437,0,0,0,0,0,0,39,147
3444,0,0,0,0,0,0,40,147
3451,0,0,0,0,0,0,38,149
3552,0,0,0,0,0,0,39,149
3565,0,0,0,0,0,0,38,150
3566,0,0,0,0,0,0,39,150
3586,0,0,0,0,0,0,40,150
3596,0,0,0,0,0,0,41,150
3606,0,0,0,0,0,0,42,150
3617,0,0,0,0,0,0,42,150
3649,0,0,0,0,0,0,41,151
3651,0,0,0,0,0,0,42,151
3663,0,0,0,0,0,0,41,152
3669,0,0,0,0,0,0,40,153
3679,0,0,0,0,0,0,41,153
3687,0,0,0,0,0,0,41,153
3688,0,0,0,0,0,0,40,154
3696,0,0,0,0,0,0,41,154
3709,0,0,0,0,0,0,40,155
3765,0,0,0,0,0,0,39,156
3776,0,0,0,0,0,0,40,156
3778,0,0,0,0,0,0,39,157
3860,0,0,0,0,0,0,38,158
3865,0,0,0,0,0,0,37,159
3870,0,0,0,0,0,0,38,159
3886,0,0,0,0,0,0,38,160
3915,0,0,0,0,0,0,37,161
3956,0,0,0,0,0,0,38,161
3958,0,0,0,0,0,0,37,162
3959,0,0,0,0,0,0,38,162
3961,0,0,0,0,0,0,40,162
3965,0,0,0,0,0,0,41,162
3978,0,0,0,0,0,0,42,162
3980,0,0,0,0,0,0,43,162
3982,0,0,0,0,0,0,44,162
3986,0,0,0,0,0,0,45,162
3990,0,0,0,0,0,0,44,163
3999,0,0,0,0,0,0,43,164
4016,0,0,0,0,0,0,44,164
4031,0,0,0,0,0,0,45,164
4032,0,0,0,0,0,0,44,165
4049,0,0,0,0,0,0,43,166
4085,0,0,0,0,0,0,43,167
4092,0,0,0,0,0,0,42,168
4105,0,0,0,0,0,0,41,169
4107,0,0,0,0,0,0,40,170
4145,0,0,0,0,0,0,39,171
4156,0,0,0,0,0,0,38,172
4172,0,0,0,0,0,0,37,173
4186,0,0,0,0,0,0,38,173
4226,0,0,0,0,0,0,39,173
4239,0,0,0,0,0,0,38,174
4250,0,0,0,0,0,0,37,175
4254,0,0,0,0,0,0,36,176
4274,0,0,0,0,0,0,34,178
4279,0,0,0,0,0,0,33,179
4283,0,0,0,0,0,0,32,180
4293,0,0,0,0,0,0,31,181
4295,0,0,0,0,0,0,30,182
4306,0,0,0,0,0,0,31,182
4310,0,0,0,0,0,0,30,183
4311,0,0,0,0,0,0,29,184
4315,0,0,0,0,0,0,28,185
4316,0,0,0,0,0,0,29,185
4317,0,0,0,0,0,0,28,186
4318,0,0,0,0,0,0,27,187
4328,0,0,0,0,0,0,28,187
4334,0,0,0,0,0,0,27,188
4338,0,0,0,0,0,0,27,188
4342,0,0,0,0,0,0,26,189
4346,0,0,0,0,0,0,27,189
4349,0,0,0,0,0,0,26,190
4369,0,0,0,0,0,0,25,191
4377,0,0,0,0,0,0,26,191
4389,0,0,0,0,0,0,25,192
4390,0,0,0,0,0,0,24,193
4415,0,0,0,0,0,0,23,194
4416,0,0,0,0,0,0,24,194
4422,0,0,0,0,0,0,23,195
4434,0,0,0,0,0,0,22,196
4449,0,0,0,0,0,0,21,197
4454,0,0,0,0,0,0,20,198
4466,0,0,0,0,0,0,22,198
4476,0,0,0,0,0,0,23,198
4488,0,0,0,0,0,0,22,199
4489,0,0,0,0,0,0,21,200
