time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
2342,application_1504131676014_19326,1,2226,2226,2342,116,116,116,0,0,0
2344,application_1504131676014_19330,1,2226,2226,2344,118,118,118,0,0,0
2345,application_1504131676014_19738,1,2276,2276,2345,69,69,69,0,0,0
2348,application_1504131676014_19356,1,2229,2229,2348,119,119,119,0,0,0
2360,application_1504131676014_19851,1,2286,2286,2360,74,74,74,0,0,0
2372,application_1504131676014_19541,1,2257,2257,2372,115,115,115,0,0,0
2384,application_1504131676014_19645,1,2267,2267,2384,117,117,117,0,0,0
2384,application_1504131676014_19647,1,2267,2267,2384,117,117,117,0,0,0
2388,application_1504131676014_19686,1,2271,2271,2388,117,117,117,0,0,0
2391,application_1504131676014_19693,1,2272,2272,2391,119,119,119,0,0,0
2395,application_1504131676014_19721,1,2275,2275,2395,120,120,120,0,0,0
2398,application_1504131676014_19780,1,2280,2280,2398,118,118,118,0,0,0
2400,application_1504131676014_19379,1,2231,2231,2400,169,169,169,0,0,0
2403,application_1504131676014_19322,1,2226,2226,2403,177,177,177,0,0,0
2405,application_1504131676014_19864,1,2287,2287,2405,118,118,118,0,0,0
2406,application_1504131676014_19844,1,2286,2286,2406,120,120,120,0,0,0
2407,application_1504131676014_19344,1,2228,2228,2407,179,179,179,0,0,0
2408,application_1504131676014_19350,1,2228,2228,2408,180,180,180,0,0,0
2418,application_1504131676014_19337,1,2227,2227,2418,191,191,191,0,0,0
2419,application_1504131676014_19353,1,2229,2229,2419,190,190,190,0,0,0
2436,application_1504131676014_19547,1,2257,2257,2436,179,179,179,0,0,0
2436,application_1504131676014_19656,1,2268,2268,2436,168,168,168,0,0,0
2441,application_1504131676014_19433,1,2237,2237,2441,204,204,204,0,0,0
2443,application_1504131676014_19650,1,2268,2268,2443,175,175,175,0,0,0
2447,application_1504131676014_19427,1,2236,2236,2447,211,211,211,0,0,0
2449,application_1504131676014_19421,1,2236,2236,2449,213,213,213,0,0,0
2449,application_1504131676014_19698,1,2272,2272,2449,177,177,177,0,0,0
2450,application_1504131676014_19663,1,2269,2269,2450,181,181,181,0,0,0
2453,application_1504131676014_19440,1,2238,2238,2453,215,215,215,0,0,0
2457,application_1504131676014_19470,1,2241,2241,2457,216,216,216,0,0,0
2457,application_1504131676014_19713,1,2274,2274,2457,183,183,183,0,0,0
2458,application_1504131676014_19598,1,2262,2262,2458,196,196,196,0,0,0
2460,application_1504131676014_19804,1,2282,2282,2460,178,178,178,0,0,0
2462,application_1504131676014_19862,1,2287,2287,2462,175,175,175,0,0,0
2463,application_1504131676014_19587,1,2260,2260,2463,203,203,203,0,0,0
2468,application_1504131676014_19586,1,2260,2260,2468,208,208,208,0,0,0
2471,application_1504131676014_19840,1,2285,2285,2471,186,186,186,0,0,0
2472,application_1504131676014_19714,1,2274,2274,2472,198,198,198,0,0,0
2472,application_1504131676014_19995,1,2305,2305,2472,167,167,167,0,0,0
2476,application_1504131676014_19740,1,2276,2276,2476,200,200,200,0,0,0
2479,application_1504131676014_19974,1,2302,2302,2479,177,177,177,0,0,0
2482,application_1504131676014_19786,1,2280,2280,2482,202,202,202,0,0,0
2486,application_1504131676014_19774,1,2279,2279,2486,207,207,207,0,0,0
